County,Installed_MW,Latitude,Longitude
Carlow,36.37,52.8365,-6.9341
Cavan,82.5,54.0,-7.0
Clare,253.67,52.8436,-9.0038
Cork,815.34,51.8979,-8.4706
Donegal,513.07,54.6544,-8.1041
Dublin,29.03,53.3498,-6.2603
Galway,420.27,53.2707,-9.0568
Kerry,681.01,52.1545,-9.5669
Kildare,0.02,53.212,-6.8195
Kilkenny,9.2,52.6541,-7.2448
Leitrim,35.0,54.1836,-8.0548
Limerick,95.34,52.6638,-8.6267
Longford,4.6,53.7275,-7.7939
Louth,16.6,53.9,-6.4167
Mayo,310.33,53.9846,-9.2822
Meath,68.72,53.6056,-6.6564
Monaghan,101.83,54.2498,-6.9683
Offaly,442.0,53.2734,-7.509
Roscommon,174.9,53.627,-8.19
Sligo,49.95,54.2766,-8.4761
Tipperary,483.3,52.4732,-8.1615
Waterford,47.21,52.2593,-7.1101
Westmeath,0.11,53.5333,-7.4333
Wexford,189.61,52.3369,-6.4629
Wicklow,78.53,52.98,-6.04
