Date,Wind_GWh,Solar_GWh
01-01-2010,248.002,0
01-02-2010,150.952,0
01-03-2010,251.394,0
01-04-2010,186.269,0
01-05-2010,168.528,0
01-06-2010,155.438,0
01-07-2010,268.309,0
01-08-2010,207.491,0
01-09-2010,288.738,0
01-10-2010,321.952,0
01-11-2010,341.232,0
01-12-2010,218.84,0
01-01-2011,274.802,0
01-02-2011,354.989,0
01-03-2011,205.538,0
01-04-2011,245.734,0
01-05-2011,542.454,0
01-06-2011,242.292,0
01-07-2011,184.921,0
01-08-2011,190.237,0
01-09-2011,483.044,0
01-10-2011,450.738,0
01-11-2011,546.286,0
01-12-2011,649.314,0
01-01-2012,537.091,0
01-02-2012,372.643,0
01-03-2012,308.961,0
01-04-2012,362.392,0
01-05-2012,258.475,0
01-06-2012,240.156,0
01-07-2012,220.825,0
01-08-2012,293.377,0
01-09-2012,310.492,0
01-10-2012,271.708,0
01-11-2012,360.524,0
01-12-2012,462.775,0
01-01-2013,449.088,0
01-02-2013,397.565,0
01-03-2013,431.606,0
01-04-2013,445.619,0
01-05-2013,433.881,0
01-06-2013,247.352,0
01-07-2013,140.312,0
01-08-2013,261.029,0
01-09-2013,312.105,0
01-10-2013,417.989,0
01-11-2013,335.976,0
01-12-2013,657.156,0
01-01-2014,578.928,0
01-02-2014,619.469,0
01-03-2014,483.024,0
01-04-2014,363.801,0
01-05-2014,353.64,0
01-06-2014,201.353,0
01-07-2014,233.675,0
01-08-2014,406.588,0
01-09-2014,183.019,0
01-10-2014,564.285,0
01-11-2014,424.801,0
01-12-2014,703.134,0
01-01-2015,784.501,0
01-02-2015,483.219,0
01-03-2015,593.505,0
01-04-2015,377.211,0
01-05-2015,589.143,0
01-06-2015,400.947,0
01-07-2015,489.949,0
01-08-2015,368.369,0
01-09-2015,381.609,0
01-10-2015,388.36,0
01-11-2015,752.462,0
01-12-2015,927.38,0
01-01-2016,777.966,0
01-02-2016,639.368,0
01-03-2016,521.565,0
01-04-2016,472.091,0
01-05-2016,351.625,0
01-06-2016,312.112,0
01-07-2016,348.549,0
01-08-2016,502.521,0
01-09-2016,535.781,0
01-10-2016,446.08,0
01-11-2016,504.521,0
01-12-2016,702.76,0
01-01-2017,701.085,0
01-02-2017,847.725,0
01-03-2017,774.325,0
01-04-2017,447.909,0
01-05-2017,467.566,0
01-06-2017,578.961,0
01-07-2017,436.831,0
01-08-2017,442.087,0
01-09-2017,577.936,0
01-10-2017,710.952,0
01-11-2017,614.283,0
01-12-2017,807.98,0
01-01-2018,1104.542,0
01-02-2018,783.931,0
01-03-2018,748.129,0
01-04-2018,704.743,0
01-05-2018,500.298,0
01-06-2018,315.223,0
01-07-2018,336.498,0
01-08-2018,546.547,0
01-09-2018,643.736,0
01-10-2018,725.032,0
01-11-2018,1023.995,0
01-12-2018,1167.327,0
01-01-2019,791.284,0
01-02-2019,1160.71,0
01-03-2019,970.673,0
01-04-2019,789.531,0
01-05-2019,546.275,0
01-06-2019,622.842,0
01-07-2019,492.446,0
01-08-2019,799.443,0
01-09-2019,778.572,0
01-10-2019,949.999,0
01-11-2019,897.874,0
01-12-2019,1167.824,0
01-01-2020,1175.731,0
01-02-2020,1498.179,0
01-03-2020,1162.977,0
01-04-2020,574.227,0
01-05-2020,767.836,0
01-06-2020,725.201,0
01-07-2020,761.876,0
01-08-2020,629.406,0
01-09-2020,755.488,0
01-10-2020,1136.627,0
01-11-2020,1060.059,0
01-12-2020,1248.375,0
01-01-2021,951.243,0
01-02-2021,1348.293,0
01-03-2021,962.325,0
01-04-2021,641.598,0
01-05-2021,745.216,0
01-06-2021,587.373,0
01-07-2021,296.283,0
01-08-2021,547.06,0
01-09-2021,520.881,0
01-10-2021,956.485,0
01-11-2021,936.019,0
01-12-2021,1225.576,0
01-01-2022,995.264,0
01-02-2022,1513.214,0
01-03-2022,932.523,0
01-04-2022,839.06,0
01-05-2022,854.119,0
01-06-2022,725.555,0
01-07-2022,520.754,0
01-08-2022,509.108,2.767
01-09-2022,643.172,3.242
01-10-2022,1250.767,2.641
01-11-2022,1334.786,2.388
01-12-2022,1029.827,2.098
01-01-2023,1211.068,3.514
01-02-2023,1105.607,9.194
01-03-2023,1122.606,15.481
01-04-2023,933.626,33.999
01-05-2023,564.269,63.296
01-06-2023,538.073,63.954
01-07-2023,877.184,59.491
01-08-2023,887.967,55.135
01-09-2023,853.168,42.244
01-10-2023,837.014,34.369
01-11-2023,1137.068,20.131
01-12-2023,1537.47,10.196
01-01-2024,1141.615,16.93
01-02-2024,1197.359,19.941
01-03-2024,1330.54,34.572
01-04-2024,928.997,65.365
01-05-2024,560.063,94.089
01-06-2024,640.203,101.188
01-07-2024,587.208,115.457
01-08-2024,947.575,98.174
01-09-2024,794.546,73.727
01-10-2024,1032.437,54.281
01-11-2024,887.614,23.612
01-12-2024,1318.917,16.222
