Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Golagh,Wind,Onshore,15.0,01-07-1997,Donegal,TSO,North,54.6544,-8.1041
Kingsmountain,Wind,Onshore,25.0,01-05-2003,Sligo,TSO,West,54.2766,-8.4761
Meentycat,Wind,Onshore,72.4,01-10-2004,Donegal,TSO,North,54.6544,-8.1041
Ballywater,Wind,Onshore,31.5,01-05-2005,Wexford,TSO,East,52.3369,-6.4629
Booltiagh,Wind,Onshore,19.5,01-08-2005,Clare,TSO,West,52.8436,-9.0038
Derrybrien ,Wind,Onshore,59.5,01-10-2005,Galway,TSO,West,53.2707,-9.0568
Coomagearlahy,Wind,Onshore,45.0,01-03-2006,Kerry,TSO,South,52.1545,-9.5669
Midas,Wind,Onshore,32.45,01-07-2007,Kerry,TSO,South,52.1545,-9.5669
Ballywater,Wind,Onshore,10.5,01-08-2007,Wexford,TSO,East,52.3369,-6.4629
Mountain Lodge,Wind,Onshore,25.5,01-04-2008,Cavan,TSO,North,54.0,-7.0
Pallas,Wind,Onshore,40.0,01-06-2008,Kerry,TSO,South,52.1545,-9.5669
Coomacheo,Wind,Onshore,41.4,01-06-2008,Cork,TSO,South,51.8979,-8.4706
Coomagearlahy,Wind,Onshore,8.5,01-03-2009,Kerry,TSO,South,52.1545,-9.5669
Mountain Lodge,Wind,Onshore,6.0,01-03-2009,Cavan,TSO,North,54.0,-7.0
Coomagearlahy,Wind,Onshore,32.5,01-06-2009,Kerry,TSO,South,52.1545,-9.5669
Coomacheo,Wind,Onshore,18.4,01-07-2009,Cork,TSO,South,51.8979,-8.4706
Lisheen,Wind,Onshore,36.0,01-07-2009,Tipperary,TSO,South,52.4732,-8.1615
Meentycat,Wind,Onshore,16.1,01-10-2009,Donegal,TSO,North,54.6544,-8.1041
Bindoo,Wind,Onshore,48.0,01-10-2009,Cavan,TSO,North,54.0,-7.0
Boggeragh,Wind,Onshore,57.0,01-12-2009,Cork,TSO,South,51.8979,-8.4706
Dromada,Wind,Onshore,28.5,01-12-2009,Limerick,TSO,South,52.6638,-8.6267
Garvagh,Wind,Onshore,26.0,01-06-2010,Leitrim,TSO,West,54.1836,-8.0548
Garvagh,Wind,Onshore,22.0,01-06-2010,Roscommon,TSO,West,53.627,-8.19
Kingsmountain,Wind,Onshore,11.05,01-06-2010,Sligo,TSO,West,54.2766,-8.4761
Castledockrell,Wind,Onshore,20.7,01-01-2011,Wexford,TSO,East,52.3369,-6.4629
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO,East,52.3369,-6.4629
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO,East,52.3369,-6.4629
Castledockrell,Wind,Onshore,16.1,01-01-2011,Wexford,TSO,East,52.3369,-6.4629
Lisheen ,Wind,Onshore,24.0,01-05-2013,Tipperary,TSO,South,52.4732,-8.1615
Booltiagh,Wind,Onshore,12.0,01-09-2013,Clare,TSO,West,52.8436,-9.0038
Athea,Wind,Onshore,34.35,01-02-2014,Limerick,TSO,South,52.6638,-8.6267
Knockacummer,Wind,Onshore,100.0,01-07-2015,Cork,TSO,South,51.8979,-8.4706
Mountlucas,Wind,Onshore,84.0,01-11-2014,Offaly,TSO,East,53.2734,-7.509
Kill Hill,Wind,Onshore,36.0,01-12-2014,Tipperary,TSO,South,52.4732,-8.1615
Woodhouse,Wind,Onshore,20.0,01-06-2015,Waterford,TSO,South,52.2593,-7.1101
Cloghboola,Wind,Onshore,48.0,01-10-2015,Kerry,TSO,South,52.1545,-9.5669
Boggeragh,Wind,Onshore,65.7,01-06-2016,Cork,TSO,South,51.8979,-8.4706
Mulreavy,Wind,Onshore,5.0,01-10-2016,Donegal,TSO,North,54.6544,-8.1041
Sliabh Bawn,Wind,Onshore,64.0,01-12-2016,Roscommon,TSO,West,53.627,-8.19
Mulreavy,Wind,Onshore,90.0,01-02-2017,Donegal,TSO,North,54.6544,-8.1041
Uggool,Wind,Onshore,64.0,01-02-2017,Galway,TSO,West,53.2707,-9.0568
Moneypoint,Wind,Onshore,17.25,01-06-2017,Clare,TSO,West,52.8436,-9.0038
Seecon,Wind,Onshore,108.0,01-08-2017,Galway,TSO,West,53.2707,-9.0568
Cordal,Wind,Onshore,35.2,01-03-2018,Kerry,TSO,South,52.1545,-9.5669
Cordal,Wind,Onshore,54.4,01-03-2018,Kerry,TSO,South,52.1545,-9.5669
Clahane,Wind,Onshore,13.8,01-08-2018,Kerry,TSO,South,52.1545,-9.5669
Kelwin,Wind,Onshore,37.05,01-09-2018,Kerry,TSO,South,52.1545,-9.5669
Knockalassa,Wind,Onshore,27.5,01-10-2018,Clare,TSO,West,52.8436,-9.0038
Boolinrudda,Wind,Onshore,45.0,01-10-2018,Clare,TSO,West,52.8436,-9.0038
Knockalough,Wind,Onshore,35.2,01-01-2019,Galway,TSO,West,53.2707,-9.0568
Oweninny,Wind,Onshore,92.8,01-10-2019,Mayo,TSO,West,53.9846,-9.2822
Grousemount,Wind,Onshore,114.2,01-04-2020,Kerry,TSO,South,52.1545,-9.5669
Beenanaspuck & Tobertoreen ,Wind,Onshore,23.1,01-04-2020,Kerry,TSO,South,52.1545,-9.5669
Carrigdangan,Wind,Onshore,54.3,01-01-2021,Cork,TSO,South,51.8979,-8.4706
Cloncreen,Wind,Onshore,75.6,01-11-2022,Offaly,TSO,East,53.2734,-7.509
Lisheen,Wind ,Onshore,28.8,01-02-2023,Tipperary,TSO,South,52.4732,-8.1615
Cloghan,Wind ,Onshore,34.0,01-01-2023,Offaly,TSO,East,53.2734,-7.509
Oweninny,Wind ,Onshore,83.0,01-04-2023,Mayo,TSO,West,53.9846,-9.2822
Lenalea,Wind,Onshore,30.1,01-09-2023,Donegal,TSO,North,54.6544,-8.1041
Ardderroo,Wind,Onshore,91.2,01-08-2023,Galway,TSO,West,53.2707,-9.0568
Drumlins,Wind,Onshore,48.8,01-06-2024,Monaghan,TSO,North,54.2498,-6.9683
Moanvane,Wind,Onshore,57.0,01-08-2024,Offaly,TSO,East,53.2734,-7.509
Derrinlough,Wind,Onshore,105.0,01-01-2025,Offaly,TSO,East,53.2734,-7.509
Yellow River,Wind,Onshore,86.4,01-02-2025,Offaly,TSO,East,53.2734,-7.509
Spion Kop Wind Farm,Wind,Onshore,1.2,01-12-1997,Roscommon,DSO,West,53.627,-8.19
Cappawhite A Wind Farm (Gate 3),Wind,Onshore,49.08,23-06-2017,Tipperary,DSO,South,52.4732,-8.1615
Cleanrath Wind Farm,Wind,Onshore,42.64,21-11-2019,Cork,DSO,South,51.8979,-8.4706
Knocknagoum (1),Wind,Onshore,42.55,09-09-2013,Kerry,DSO,South,52.1545,-9.5669
Leitir Guingaid Wind Farm,Wind,Onshore,40.9,07-02-2014,Galway,DSO,West,53.2707,-9.0568
Magheramore and Cloontooa Wind Farm,Wind,Onshore,40.8,12-12-2018,Tipperary,DSO,South,52.4732,-8.1615
Bruckana,Wind,Onshore,39.6,16-07-2014,Tipperary,DSO,South,52.4732,-8.1615
Boolynagleragh (1),Wind,Onshore,36.98,03-09-2019,Clare,DSO,West,52.8436,-9.0038
Garracummer Wind Farm,Wind,Onshore,36.9,05-03-2013,Tipperary,DSO,South,52.4732,-8.1615
Scartaglen Wind Farm,Wind,Onshore,35.45,12-12-2017,Kerry,DSO,South,52.1545,-9.5669
Raheenleagh (1),Wind,Onshore,35.2,04-08-2016,Wicklow,DSO,East,52.98,-6.04
Carrowleagh Wind Farm (1),Wind,Onshore,34.15,06-06-2012,Donegal,DSO,North,54.6544,-8.1041
Castlepook (1),Wind,Onshore,33.1,28-11-2017,Cork,DSO,South,51.8979,-8.4706
Glencarbry Wind Farm,Wind,Onshore,33.0,27-10-2016,Tipperary,DSO,South,52.4732,-8.1615
Glenough Wind Farm,Wind,Onshore,33.0,22-08-2011,Tipperary,DSO,South,52.4732,-8.1615
Monaincha Bog Wind Farm (Gate 3),Wind,Onshore,32.55,31-01-2014,Tipperary,DSO,South,52.4732,-8.1615
Barranafaddock Wind Farm,Wind,Onshore,32.4,01-05-2015,Cork,DSO,South,51.8979,-8.4706
Sorne Hill Wind Farm,Wind,Onshore,31.5,01-07-2006,Donegal,DSO,North,54.6544,-8.1041
Bunnyconnellan Wind Farm,Wind,Onshore,28.0,04-12-2019,Donegal,DSO,North,54.6544,-8.1041
Taurbeg Wind Farm,Wind,Onshore,26.0,01-01-2006,Cork,DSO,South,51.8979,-8.4706
Arklow Bank Wind Farm (1),Wind,Onshore,25.2,01-11-2003,Wicklow,DSO,East,52.98,-6.04
Sorrell Island (Prev Glenmore),Wind,Onshore,24.0,03-09-2019,Clare,DSO,West,52.8436,-9.0038
