County,Latitude,Longitude
Carlow,52.8365,-6.9341
Cavan,54.0,-7.0
Clare,52.8436,-9.0038
Cork,51.8979,-8.4706
Donegal,54.6544,-8.1041
Dublin,53.3498,-6.2603
Galway,53.2707,-9.0568
Kerry,52.1545,-9.5669
Kildare,53.212,-6.8195
Kilkenny,52.6541,-7.2448
Leitrim,54.1836,-8.0548
Limerick,52.6638,-8.6267
Longford,53.7275,-7.7939
Louth,53.9,-6.4167
Mayo,53.9846,-9.2822
Meath,53.6056,-6.6564
Monaghan,54.2498,-6.9683
Offaly,53.2734,-7.509
Roscommon,53.627,-8.19
Sligo,54.2766,-8.4761
Tipperary,52.4732,-8.1615
Waterford,52.2593,-7.1101
Westmeath,53.5333,-7.4333
Wexford,52.3369,-6.4629
Wicklow,52.98,-6.04
Derry,55.0,-7.3333
Tyrone,54.6,-7.0
