Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type
Hortland PV,Solar,Onshore,14.0,2022-07-01 00:00:00,Meath,DSO
Hilltown PV,Solar,Onshore,10.0,2023-05-12 00:00:00,Meath,DSO
Macallian Solar,Solar,Onshore,9.0,2023-12-16 00:00:00,Galway,DSO
Millvale North PV,Solar,Onshore,8.0,2022-04-25 00:00:00,Wexford,DSO
Blusheens Solar Park,Solar,Onshore,7.98,2022-08-20 00:00:00,Wexford,DSO
Ballycullane Solar Park (Coolroe),Solar,Onshore,4.99,2022-10-05 00:00:00,Wexford,DSO
Coolyduff,Solar,Onshore,4.95,2024-02-22 00:00:00,Waterford,DSO
Davidstown Solar,Solar,Onshore,4.95,2022-11-07 00:00:00,Wexford,DSO
Gorey Solar,Solar,Onshore,4.0,2023-09-06 00:00:00,Offaly,DSO
Knockglass Solar Farm (Bawnmore extension),Solar,Onshore,4.0,2022-12-22 00:00:00,Cork,DSO
Curraghmartin Solar Park,Solar,Onshore,3.99,2022-07-26 00:00:00,Waterford,DSO
Lurrig Solar Farm,Solar,Onshore,3.6,2022-12-14 00:00:00,Cork,DSO
Greenfield PV,Solar,Onshore,0.499,2023-09-08 00:00:00,Meath,DSO
Lurrig Solar Ext.,Solar,Onshore,0.34,2023-07-01 00:00:00,Cork,DSO
Connacht GAA Solar PV,Solar,Onshore,0.3,2023-03-30 00:00:00,Tipperary,DSO
Knockfee Farm Rooftop,Solar,Onshore,0.18,2023-04-04 00:00:00,Tipperary,DSO
Roscrea Leisure Centre,Solar,Onshore,0.12,2022-05-11 00:00:00,Tipperary,DSO
Thurles Leisure Centre Solar,Solar,Onshore,0.1,2022-05-11 00:00:00,Tipperary,DSO
Hill Top Agri Solar PV,Solar,Onshore,0.07,2023-04-25 00:00:00,Cork,DSO
UCC Photovoltaic,Solar,Onshore,0.05,Date unavailable at this time,Cork,DSO
St. Gabriels Centre NB,Solar,Onshore,0.04,2014-11-20 00:00:00,Limerick,DSO
Tipperary CoCo Clonmel Machinery Yard,Solar,Onshore,0.02,2016-01-13 00:00:00,Limerick,DSO
Excel Office Solar PV (Hanlon Transport),Solar,Onshore,0.19,2024-06-12 00:00:00,Louth,DSO
Lehinch Solar,Solar,Onshore,4.0,2024-06-26 00:00:00,Offaly,DSO
Ernevalley Poultry Ltd,Solar,Onshore,0.12,2024-04-18 00:00:00,Dublin,DSO
Shanagraigue Solar,Solar,Onshore,4.95,2024-05-17 00:00:00,Kerry,DSO
Dromalour Solar Farm,Solar,Onshore,4.95,2024-05-09 00:00:00,Cork,DSO
Drumgarriff South,Solar,Onshore,4.95,2024-05-03 00:00:00,Waterford,DSO
Nellcor Puritan Bennett Ireland,Solar,Onshore,0.2,2024-09-24 00:00:00,Galway,DSO
Hickeys Farm Solar PV,Solar,Onshore,0.3,2024-07-26 00:00:00,Louth,DSO
Crossfield Solar,Solar,Onshore,4.95,2024-07-25 00:00:00,Cork,DSO
Beaulieu  PV ,Solar,Onshore,3.99,2024-04-10 00:00:00,Wexford,DSO
Ballymacadam Solar ,Solar,Onshore,21.0,2024-10-14 00:00:00,Tipperary,DSO
Castlekelly Solar,Solar,Onshore,4.0,2024-12-19 00:00:00,Kilkenny,DSO
Courtown Solar Farm ,Solar,Onshore,4.0,2024-11-19 00:00:00,Offaly,DSO
