Project,Type,Installed_MW,Connection_Date,County,Connection_Type
Spion Kop Wind Farm,Wind,1.2,01-12-1997,Roscommon,DSO
Cappawhite A Wind Farm (Gate 3),Wind,49.08,23-06-2017,Tipperary,DSO
Cleanrath Wind Farm,Wind,42.64,21-11-2019,Cork,DSO
Knocknagoum (1),Wind,42.55,09-09-2013,Kerry,DSO
Leitir Guingaid Wind Farm,Wind,40.9,07-02-2014,Galway,DSO
Magheramore and Cloontooa Wind Farm,Wind,40.8,12-12-2018,Tipperary,DSO
Bruckana,Wind,39.6,16-07-2014,Tipperary,DSO
Boolynagleragh (1),Wind,36.98,03-09-2019,Clare,DSO
Garracummer Wind Farm,Wind,36.9,05-03-2013,Tipperary,DSO
Scartaglen Wind Farm,Wind,35.45,12-12-2017,Kerry,DSO
Raheenleagh (1),Wind,35.2,04-08-2016,Wicklow,DSO
Carrowleagh Wind Farm (1),Wind,34.15,06-06-2012,Donegal,DSO
Derrysallagh Wind Farm (Formerly Kilronan 2),Wind,34,29-11-2019,Derry,DSO
Castlepook (1),Wind,33.1,28-11-2017,Cork,DSO
Glencarbry Wind Farm,Wind,33,27-10-2016,Tipperary,DSO
Glenough Wind Farm,Wind,33,22-08-2011,Tipperary,DSO
Monaincha Bog Wind Farm (Gate 3),Wind,32.55,31-01-2014,Tipperary,DSO
Barranafaddock Wind Farm,Wind,32.4,01-05-2015,Cork,DSO
Sorne Hill Wind Farm,Wind,31.5,01-07-2006,Donegal,DSO
Bunnyconnellan Wind Farm,Wind,28,04-12-2019,Donegal,DSO
Taurbeg Wind Farm,Wind,26,01-01-2006,Cork,DSO
Arklow Bank Wind Farm (1),Wind,25.2,01-11-2003,Wicklow,DSO
Sorrell Island (Prev Glenmore),Wind,24,03-09-2019,Clare,DSO
Bawnmore (Burren/Carraignimma),Wind,24,14-10-2011,Cork,DSO
Taghart Wind Farm (formerly Cregg WF),Wind,23.06,22-07-2022,Meath,DSO
Knockawarriga Wind Farm,Wind,22.5,01-07-2008,Roscommon,DSO
Gortahile Wind Farm,Wind,21,21-06-2010,Carlow,DSO
Richfield Wind Farm,Wind,20.25,01-08-2006,Wexford,DSO
