Date,Zone,Type,Connection_Type,Installed_MW,Wind_GWh,Solar_GWh,Wind_Speed_10m,Temperature_Celsius,Cloud_Cover,Solar_Radiation_MJ_per_m2,Wind_Capacity_MW,Solar_Capacity_MW
2010-01-01,East,Wind,DSO,349.389,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,East,Wind,TSO,491.4,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,East,Wind,TSO,34.0,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,North,Wind,DSO,340.498,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,North,Wind,TSO,356.9,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,South,Wind,DSO,1093.551,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,South,Wind,TSO,999.85,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,South,Wind,TSO,28.8,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,West,Wind,DSO,441.118,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,West,Wind,TSO,720.0,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,West,Wind,TSO,83.0,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,East,Solar,DSO,106.609,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,East,Solar,TSO,520.6,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,South,Solar,DSO,22.97,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,South,Solar,TSO,87.0,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-01-01,West,Solar,DSO,9.2,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.8069999999998,0.6
2010-02-01,East,Wind,DSO,349.389,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,East,Wind,TSO,491.4,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,East,Wind,TSO,34.0,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,North,Wind,DSO,340.498,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,North,Wind,TSO,356.9,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,South,Wind,DSO,1093.551,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,South,Wind,TSO,999.85,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,South,Wind,TSO,28.8,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,West,Wind,DSO,441.118,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,West,Wind,TSO,720.0,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,West,Wind,TSO,83.0,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,East,Solar,DSO,106.609,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,East,Solar,TSO,520.6,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,South,Solar,DSO,22.97,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,South,Solar,TSO,87.0,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-02-01,West,Solar,DSO,9.2,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6
2010-03-01,East,Wind,DSO,349.389,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,East,Wind,TSO,491.4,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,East,Wind,TSO,34.0,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,North,Wind,DSO,340.498,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,North,Wind,TSO,356.9,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,South,Wind,DSO,1093.551,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,South,Wind,TSO,999.85,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,South,Wind,TSO,28.8,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,West,Wind,DSO,441.118,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,West,Wind,TSO,720.0,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,West,Wind,TSO,83.0,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,East,Solar,DSO,106.609,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,East,Solar,TSO,520.6,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,South,Solar,DSO,22.97,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,South,Solar,TSO,87.0,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-03-01,West,Solar,DSO,9.2,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.6569999999997,0.6
2010-04-01,East,Wind,DSO,349.389,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,East,Wind,TSO,491.4,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,East,Wind,TSO,34.0,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,North,Wind,DSO,340.498,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,North,Wind,TSO,356.9,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,South,Wind,DSO,1093.551,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,South,Wind,TSO,999.85,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,South,Wind,TSO,28.8,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,West,Wind,DSO,441.118,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,West,Wind,TSO,720.0,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
2010-04-01,West,Wind,TSO,83.0,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6
