Date,Wind_GWh,Solar_GWh,Wind_Speed_10m,Temperature_Celsius,Cloud_Cover,Solar_Radiation_MJ_per_m2,Wind_Capacity_MW,Solar_Capacity_MW,Wind_GWh_Lag1,Wind_GWh_Lag2,Wind_GWh_Lag12,Solar_GWh_Lag1,Solar_GWh_Lag2,Solar_GWh_Lag12,Wind_GWh_RollingMean3,Solar_GWh_RollingMean3,East_Wind_Total_MW,West_Wind_Total_MW,North_Wind_Total_MW,South_Wind_Total_MW,East_Solar_Total_MW,West_Solar_Total_MW,South_Solar_Total_MW
2011-01-01,274.802,0.0,1.5804212,5.1265016,0.7160629,2722785.5,1443.528,0.7,218.84,341.232,248.002,0.0,0.0,0.0,278.29133333333334,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-02-01,354.989,0.0,4.150639,7.4958653,0.7708915,4892891.0,1448.178,0.7,274.802,218.84,150.952,0.0,0.0,0.0,282.877,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-03-01,205.538,0.0,1.3151177,7.115686,0.6544995,10031971.0,1453.278,0.7,354.989,274.802,251.394,0.0,0.0,0.0,278.443,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-04-01,245.734,0.0,1.8218471,10.619301,0.6722466,15662278.0,1472.878,0.7,205.538,354.989,186.269,0.0,0.0,0.0,268.7536666666667,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-05-01,542.454,0.0,4.198789,11.077496,0.7303525,17387700.0,1485.378,0.7,245.734,205.538,168.528,0.0,0.0,0.0,331.24199999999996,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-06-01,242.292,0.0,2.5661945,11.918293,0.685079,19358158.0,1511.378,0.7,542.454,245.734,155.438,0.0,0.0,0.0,343.4933333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-07-01,184.921,0.0,1.6296585,13.986278,0.78539485,16903416.0,1530.368,0.7,242.292,542.454,268.309,0.0,0.0,0.0,323.22233333333327,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-08-01,190.237,0.0,2.4011583,13.759388,0.7419558,14305454.0,1592.808,0.7,184.921,242.292,207.491,0.0,0.0,0.0,205.8166666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-09-01,483.044,0.0,5.392239,13.701938,0.79020184,9489662.0,1592.808,0.7,190.237,184.921,288.738,0.0,0.0,0.0,286.06733333333324,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-10-01,450.738,0.0,4.7353787,12.028352,0.8364888,4809977.0,1617.098,0.7,483.044,190.237,321.952,0.0,0.0,0.0,374.67299999999994,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-11-01,546.286,0.0,4.9286823,10.641469,0.7409434,3116192.8,1617.598,0.7,450.738,483.044,341.232,0.0,0.0,0.0,493.35599999999994,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2011-12-01,649.314,0.0,7.313563,7.31394,0.77702886,1838149.5,1620.998,0.7,546.286,450.738,218.84,0.0,0.0,0.0,548.7793333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-01-01,537.091,0.0,4.7165875,7.701514,0.83359694,2250527.0,1620.998,0.7,649.314,546.286,274.802,0.0,0.0,0.0,577.5636666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-02-01,372.643,0.0,3.3854454,7.6769295,0.8937073,3843176.0,1620.998,0.7,537.091,649.314,354.989,0.0,0.0,0.0,519.6826666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-03-01,308.961,0.0,2.2784219,8.88237,0.67741615,10396377.0,1620.998,0.7,372.643,537.091,205.538,0.0,0.0,0.0,406.2316666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-04-01,362.392,0.0,3.3823714,7.528766,0.6350731,15431789.0,1635.988,0.7,308.961,372.643,245.734,0.0,0.0,0.0,347.9986666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-05-01,258.475,0.0,0.87023926,10.735611,0.7081962,18175084.0,1635.988,0.7,362.392,308.961,542.454,0.0,0.0,0.0,309.94266666666664,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-06-01,240.156,0.0,1.5529944,12.499234,0.82894427,16319786.0,1670.268,0.7,258.475,362.392,242.292,0.0,0.0,0.0,287.00766666666664,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-07-01,220.825,0.0,2.0271592,13.840955,0.7811975,15679015.0,1670.278,0.7,240.156,258.475,184.921,0.0,0.0,0.0,239.81866666666664,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-08-01,293.377,0.0,2.6854606,15.282195,0.76189435,14754456.0,1670.278,0.7,220.825,240.156,190.237,0.0,0.0,0.0,251.45266666666666,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-09-01,310.492,0.0,3.5203156,12.974229,0.7633441,10317375.0,1682.878,0.7,293.377,220.825,483.044,0.0,0.0,0.0,274.89799999999997,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-10-01,271.708,0.0,0.9914407,9.9304695,0.7364165,6105414.5,1707.09,0.7,310.492,293.377,450.738,0.0,0.0,0.0,291.859,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-11-01,360.524,0.0,3.2383852,7.7340894,0.7114339,3263567.5,1710.99,0.7,271.708,310.492,546.286,0.0,0.0,0.0,314.24133333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2012-12-01,462.775,0.0,3.5605388,7.0911856,0.77599686,1957227.6,1748.89,0.7,360.524,271.708,649.314,0.0,0.0,0.0,365.0023333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-01-01,449.088,0.0,3.543368,6.620413,0.80017996,2304243.8,1748.89,1.0,462.775,360.524,537.091,0.0,0.0,0.0,424.1289999999999,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-02-01,397.565,0.0,0.9329542,5.804914,0.7220524,5428007.0,1763.707,1.0,449.088,462.775,372.643,0.0,0.0,0.0,436.47599999999994,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-03-01,431.606,0.0,4.2579474,4.564141,0.765397,9107997.0,1771.987,1.0,397.565,449.088,308.961,0.0,0.0,0.0,426.08633333333324,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-04-01,445.619,0.0,1.5346823,7.3844743,0.6504884,15101368.0,1786.137,1.0,431.606,397.565,362.392,0.0,0.0,0.0,424.93,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-05-01,433.881,0.0,3.0844324,9.846056,0.72600996,17963048.0,1805.137,1.0,445.619,431.606,258.475,0.0,0.0,0.0,437.03533333333326,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-06-01,247.352,0.0,1.7690905,13.111051,0.72063583,19111900.0,1805.137,1.0,433.881,445.619,240.156,0.0,0.0,0.0,375.6173333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
2013-07-01,140.312,0.0,1.5082012,16.678295,0.6514094,20470086.0,1818.087,1.0,247.352,433.881,220.825,0.0,0.0,0.0,273.8483333333333,0.0,874.789,1244.118,697.3979999999999,2122.201,627.2090000000001,9.2,109.97
