Date,Wind_GWh,Wind_GWh_Lag1,Wind_GWh_Lag2,Wind_GWh_Lag12,Wind_GWh_RollingMean3,Wind_Speed_10m,Temperature_Celsius,Cloud_Cover,Wind_Capacity_MW,North_Wind_Total_MW,South_Wind_Total_MW,East_Wind_Total_MW,West_Wind_Total_MW
2011-01-01,274.802,218.84,341.232,248.002,278.29133333333334,1.5804212,5.1265016,0.7160629,1443.528,697.3979999999999,2122.201,874.789,1244.118
2011-02-01,354.989,274.802,218.84,150.952,282.877,4.150639,7.4958653,0.7708915,1448.178,697.3979999999999,2122.201,874.789,1244.118
2011-03-01,205.538,354.989,274.802,251.394,278.443,1.3151177,7.115686,0.6544995,1453.278,697.3979999999999,2122.201,874.789,1244.118
2011-04-01,245.734,205.538,354.989,186.269,268.7536666666667,1.8218471,10.619301,0.6722466,1472.878,697.3979999999999,2122.201,874.789,1244.118
2011-05-01,542.454,245.734,205.538,168.528,331.242,4.198789,11.077496,0.7303525,1485.378,697.3979999999999,2122.201,874.789,1244.118
2011-06-01,242.292,542.454,245.734,155.438,343.4933333333333,2.5661945,11.918293,0.685079,1511.378,697.3979999999999,2122.201,874.789,1244.118
2011-07-01,184.921,242.292,542.454,268.309,323.22233333333327,1.6296585,13.986278,0.78539485,1530.368,697.3979999999999,2122.201,874.789,1244.118
2011-08-01,190.237,184.921,242.292,207.491,205.8166666666666,2.4011583,13.759388,0.7419558,1592.808,697.3979999999999,2122.201,874.789,1244.118
2011-09-01,483.044,190.237,184.921,288.738,286.06733333333324,5.392239,13.701938,0.79020184,1592.808,697.3979999999999,2122.201,874.789,1244.118
2011-10-01,450.738,483.044,190.237,321.952,374.673,4.7353787,12.028352,0.8364888,1617.098,697.3979999999999,2122.201,874.789,1244.118
2011-11-01,546.286,450.738,483.044,341.232,493.356,4.9286823,10.641469,0.7409434,1617.598,697.3979999999999,2122.201,874.789,1244.118
2011-12-01,649.314,546.286,450.738,218.84,548.7793333333333,7.313563,7.31394,0.77702886,1620.998,697.3979999999999,2122.201,874.789,1244.118
