Date,Wind_GWh,Wind_GWh_Lag1,Wind_GWh_Lag2,Wind_GWh_Lag12,Wind_GWh_RollingMean3,Wind_Speed_10m,Temperature_Celsius,Cloud_Cover,Wind_Capacity_MW,Wind_GWh_Lag3,Wind_GWh_Lag6,Wind_GWh_Lag24,RollingMean_6,RollingMean_12
2013-01-01,449.088,462.775,360.524,537.091,424.129,3.543368,6.620413,0.80017996,1748.89,271.708,220.825,274.802,319.9501666666667,333.2849166666667
2013-01-02,397.565,449.088,462.775,372.643,436.476,0.9329542,5.804914,0.7220524,1763.707,360.524,293.377,354.989,357.99399999999997,325.95133333333337
2013-01-03,431.606,397.565,449.088,308.961,426.0863333,4.2579474,4.564141,0.765397,1771.987,462.775,310.492,205.538,375.3586666666667,328.02816666666666
2013-01-04,445.619,431.606,397.565,362.392,424.93,1.5346823,7.3844743,0.6504884,1786.137,449.088,271.708,245.734,395.5443333333333,338.24858333333333
2013-01-05,433.881,445.619,431.606,258.475,437.0353333,3.0844324,9.846056,0.72600996,1805.137,397.565,360.524,542.454,424.5294999999999,345.18416666666667
2013-01-06,247.352,433.881,445.619,240.156,375.6173333,1.7690905,13.111051,0.72063583,1805.137,431.606,462.775,242.292,436.7556666666667,359.80133333333333
2013-01-07,140.312,247.352,433.881,220.825,273.8483333,1.5082012,16.678295,0.6514094,1818.087,445.619,449.088,184.921,400.85183333333333,360.401
2013-01-08,261.029,140.312,247.352,293.377,216.231,3.5183,15.311791,0.7752144,1818.087,433.881,397.565,190.237,349.38916666666665,353.6915833333333
2013-01-09,312.105,261.029,140.312,310.492,237.8153333,1.7884411,13.712334,0.80533254,1875.287,247.352,431.606,483.044,326.6331666666667,350.9959166666667
2013-01-10,417.989,312.105,261.029,271.708,330.3743333,2.345762,12.468028,0.75754476,1880.287,140.312,445.619,450.738,306.71633333333335,351.13033333333334
2013-01-11,335.976,417.989,312.105,360.524,355.3566667,3.7802985,8.038032,0.7229766,1885.397,261.029,433.881,546.286,302.11133333333333,363.3204166666667
2013-01-12,657.156,335.976,417.989,462.775,470.3736667,6.730916,7.9469194,0.7903367,1924.397,312.105,247.352,649.314,285.79383333333334,361.27475
2014-01-01,578.928,657.156,335.976,449.088,524.02,5.00765,6.7187653,0.7255262,1970.347,417.989,140.312,537.091,354.0945,377.47316666666666
2014-01-02,619.469,578.928,657.156,397.565,618.5176667,5.695215,6.313387,0.7675354,2028.247,335.976,261.029,372.643,427.19716666666665,388.29316666666665
2014-01-03,483.024,619.469,578.928,431.606,560.4736667,2.6600308,7.316123,0.7528852,2043.237,657.156,312.105,308.961,486.93716666666666,406.7851666666666
2014-01-04,363.801,483.024,619.469,445.619,488.7646667,1.6400453,9.712059,0.71174294,2043.237,578.928,417.989,362.392,515.4236666666667,411.07
2014-01-05,353.64,363.801,483.024,433.881,400.155,1.6852248,11.158405,0.78084403,2081.537,619.469,335.976,258.475,506.3923333333334,404.2518333333333
2014-01-06,201.353,353.64,363.801,247.352,306.2646667,0.6728634,14.04005,0.71570605,2081.837,483.024,657.156,240.156,509.33633333333336,397.56508333333335
2014-01-07,233.675,201.353,353.64,140.312,262.8893333,2.3360982,15.927581,0.74664915,2152.937,363.801,578.928,220.825,433.3691666666667,393.7318333333333
2014-01-08,406.588,233.675,201.353,261.029,280.5386667,2.8635595,14.260562,0.6723016,2164.937,353.64,619.469,293.377,375.827,401.51208333333335
2014-01-09,183.019,406.588,233.675,312.105,274.4273333,0.88188875,14.524881,0.72862387,2176.957,201.353,483.024,310.492,340.34683333333334,413.642
2014-01-10,564.285,183.019,406.588,417.989,384.6306667,4.0648484,12.030632,0.75199014,2213.957,233.675,363.801,271.708,290.346,402.88483333333335
2014-01-11,424.801,564.285,183.019,335.976,390.7016667,2.0673397,9.164361,0.72298145,2228.957,406.588,353.64,360.524,323.76,415.07616666666667
2014-01-12,703.134,424.801,564.285,657.156,564.0733333,5.6008925,7.182816,0.7588282,2267.557,183.019,201.353,462.775,335.62016666666665,422.47824999999995
