Date,Zone,Type,Connection_Type,Installed_MW
2010-01-01,East,Wind,DSO,349.389
2010-01-01,East,Wind,TSO,491.4
2010-01-01,East,Wind,TSO,34.0
2010-01-01,North,Wind,DSO,340.498
2010-01-01,North,Wind,TSO,356.9
2010-01-01,South,Wind,DSO,1093.551
2010-01-01,South,Wind,TSO,999.85
2010-01-01,South,Wind,TSO,28.8
2010-01-01,West,Wind,DSO,441.118
2010-01-01,West,Wind,TSO,720.0
2010-01-01,West,Wind,TSO,83.0
2010-01-01,East,Solar,DSO,106.609
2010-01-01,East,Solar,TSO,520.6
2010-01-01,South,Solar,DSO,22.97
2010-01-01,South,Solar,TSO,87.0
2010-01-01,West,Solar,DSO,9.2
2010-02-01,East,Wind,DSO,349.389
2010-02-01,East,Wind,TSO,491.4
2010-02-01,East,Wind,TSO,34.0
2010-02-01,North,Wind,DSO,340.498
2010-02-01,North,Wind,TSO,356.9
2010-02-01,South,Wind,DSO,1093.551
2010-02-01,South,Wind,TSO,999.85
2010-02-01,South,Wind,TSO,28.8
2010-02-01,West,Wind,DSO,441.118
2010-02-01,West,Wind,TSO,720.0
2010-02-01,West,Wind,TSO,83.0
2010-02-01,East,Solar,DSO,106.609
2010-02-01,East,Solar,TSO,520.6
2010-02-01,South,Solar,DSO,22.97
2010-02-01,South,Solar,TSO,87.0
2010-02-01,West,Solar,DSO,9.2
2010-03-01,East,Wind,DSO,349.389
2010-03-01,East,Wind,TSO,491.4
2010-03-01,East,Wind,TSO,34.0
2010-03-01,North,Wind,DSO,340.498
2010-03-01,North,Wind,TSO,356.9
2010-03-01,South,Wind,DSO,1093.551
2010-03-01,South,Wind,TSO,999.85
2010-03-01,South,Wind,TSO,28.8
2010-03-01,West,Wind,DSO,441.118
2010-03-01,West,Wind,TSO,720.0
2010-03-01,West,Wind,TSO,83.0
2010-03-01,East,Solar,DSO,106.609
2010-03-01,East,Solar,TSO,520.6
2010-03-01,South,Solar,DSO,22.97
2010-03-01,South,Solar,TSO,87.0
2010-03-01,West,Solar,DSO,9.2
2010-04-01,East,Wind,DSO,349.389
2010-04-01,East,Wind,TSO,491.4
2010-04-01,East,Wind,TSO,34.0
2010-04-01,North,Wind,DSO,340.498
2010-04-01,North,Wind,TSO,356.9
2010-04-01,South,Wind,DSO,1093.551
2010-04-01,South,Wind,TSO,999.85
2010-04-01,South,Wind,TSO,28.8
2010-04-01,West,Wind,DSO,441.118
2010-04-01,West,Wind,TSO,720.0
2010-04-01,West,Wind,TSO,83.0
2010-04-01,East,Solar,DSO,106.609
2010-04-01,East,Solar,TSO,520.6
2010-04-01,South,Solar,DSO,22.97
2010-04-01,South,Solar,TSO,87.0
2010-04-01,West,Solar,DSO,9.2
2010-05-01,East,Wind,DSO,349.389
2010-05-01,East,Wind,TSO,491.4
2010-05-01,East,Wind,TSO,34.0
2010-05-01,North,Wind,DSO,340.498
2010-05-01,North,Wind,TSO,356.9
2010-05-01,South,Wind,DSO,1093.551
2010-05-01,South,Wind,TSO,999.85
2010-05-01,South,Wind,TSO,28.8
2010-05-01,West,Wind,DSO,441.118
2010-05-01,West,Wind,TSO,720.0
2010-05-01,West,Wind,TSO,83.0
2010-05-01,East,Solar,DSO,106.609
2010-05-01,East,Solar,TSO,520.6
2010-05-01,South,Solar,DSO,22.97
2010-05-01,South,Solar,TSO,87.0
2010-05-01,West,Solar,DSO,9.2
2010-06-01,East,Wind,DSO,349.389
2010-06-01,East,Wind,TSO,491.4
2010-06-01,East,Wind,TSO,34.0
2010-06-01,North,Wind,DSO,340.498
2010-06-01,North,Wind,TSO,356.9
2010-06-01,South,Wind,DSO,1093.551
2010-06-01,South,Wind,TSO,999.85
2010-06-01,South,Wind,TSO,28.8
2010-06-01,West,Wind,DSO,441.118
2010-06-01,West,Wind,TSO,720.0
2010-06-01,West,Wind,TSO,83.0
2010-06-01,East,Solar,DSO,106.609
2010-06-01,East,Solar,TSO,520.6
2010-06-01,South,Solar,DSO,22.97
2010-06-01,South,Solar,TSO,87.0
2010-06-01,West,Solar,DSO,9.2
2010-07-01,East,Wind,DSO,349.389
2010-07-01,East,Wind,TSO,491.4
2010-07-01,East,Wind,TSO,34.0
2010-07-01,North,Wind,DSO,340.498
2010-07-01,North,Wind,TSO,356.9
2010-07-01,South,Wind,DSO,1093.551
2010-07-01,South,Wind,TSO,999.85
2010-07-01,South,Wind,TSO,28.8
2010-07-01,West,Wind,DSO,441.118
2010-07-01,West,Wind,TSO,720.0
2010-07-01,West,Wind,TSO,83.0
2010-07-01,East,Solar,DSO,106.609
2010-07-01,East,Solar,TSO,520.6
2010-07-01,South,Solar,DSO,22.97
2010-07-01,South,Solar,TSO,87.0
2010-07-01,West,Solar,DSO,9.2
2010-08-01,East,Wind,DSO,349.389
2010-08-01,East,Wind,TSO,491.4
2010-08-01,East,Wind,TSO,34.0
2010-08-01,North,Wind,DSO,340.498
2010-08-01,North,Wind,TSO,356.9
2010-08-01,South,Wind,DSO,1093.551
2010-08-01,South,Wind,TSO,999.85
2010-08-01,South,Wind,TSO,28.8
2010-08-01,West,Wind,DSO,441.118
2010-08-01,West,Wind,TSO,720.0
2010-08-01,West,Wind,TSO,83.0
2010-08-01,East,Solar,DSO,106.609
2010-08-01,East,Solar,TSO,520.6
2010-08-01,South,Solar,DSO,22.97
2010-08-01,South,Solar,TSO,87.0
2010-08-01,West,Solar,DSO,9.2
2010-09-01,East,Wind,DSO,349.389
2010-09-01,East,Wind,TSO,491.4
2010-09-01,East,Wind,TSO,34.0
2010-09-01,North,Wind,DSO,340.498
2010-09-01,North,Wind,TSO,356.9
2010-09-01,South,Wind,DSO,1093.551
2010-09-01,South,Wind,TSO,999.85
2010-09-01,South,Wind,TSO,28.8
2010-09-01,West,Wind,DSO,441.118
2010-09-01,West,Wind,TSO,720.0
2010-09-01,West,Wind,TSO,83.0
2010-09-01,East,Solar,DSO,106.609
2010-09-01,East,Solar,TSO,520.6
2010-09-01,South,Solar,DSO,22.97
2010-09-01,South,Solar,TSO,87.0
2010-09-01,West,Solar,DSO,9.2
2010-10-01,East,Wind,DSO,349.389
2010-10-01,East,Wind,TSO,491.4
2010-10-01,East,Wind,TSO,34.0
2010-10-01,North,Wind,DSO,340.498
2010-10-01,North,Wind,TSO,356.9
2010-10-01,South,Wind,DSO,1093.551
2010-10-01,South,Wind,TSO,999.85
2010-10-01,South,Wind,TSO,28.8
2010-10-01,West,Wind,DSO,441.118
2010-10-01,West,Wind,TSO,720.0
2010-10-01,West,Wind,TSO,83.0
2010-10-01,East,Solar,DSO,106.609
2010-10-01,East,Solar,TSO,520.6
2010-10-01,South,Solar,DSO,22.97
2010-10-01,South,Solar,TSO,87.0
2010-10-01,West,Solar,DSO,9.2
2010-11-01,East,Wind,DSO,349.389
2010-11-01,East,Wind,TSO,491.4
2010-11-01,East,Wind,TSO,34.0
2010-11-01,North,Wind,DSO,340.498
2010-11-01,North,Wind,TSO,356.9
2010-11-01,South,Wind,DSO,1093.551
2010-11-01,South,Wind,TSO,999.85
2010-11-01,South,Wind,TSO,28.8
2010-11-01,West,Wind,DSO,441.118
2010-11-01,West,Wind,TSO,720.0
2010-11-01,West,Wind,TSO,83.0
2010-11-01,East,Solar,DSO,106.609
2010-11-01,East,Solar,TSO,520.6
2010-11-01,South,Solar,DSO,22.97
2010-11-01,South,Solar,TSO,87.0
2010-11-01,West,Solar,DSO,9.2
2010-12-01,East,Wind,DSO,349.389
2010-12-01,East,Wind,TSO,491.4
2010-12-01,East,Wind,TSO,34.0
2010-12-01,North,Wind,DSO,340.498
2010-12-01,North,Wind,TSO,356.9
2010-12-01,South,Wind,DSO,1093.551
2010-12-01,South,Wind,TSO,999.85
2010-12-01,South,Wind,TSO,28.8
2010-12-01,West,Wind,DSO,441.118
2010-12-01,West,Wind,TSO,720.0
2010-12-01,West,Wind,TSO,83.0
2010-12-01,East,Solar,DSO,106.609
2010-12-01,East,Solar,TSO,520.6
2010-12-01,South,Solar,DSO,22.97
2010-12-01,South,Solar,TSO,87.0
2010-12-01,West,Solar,DSO,9.2
2011-01-01,East,Wind,DSO,349.389
2011-01-01,East,Wind,TSO,491.4
2011-01-01,East,Wind,TSO,34.0
2011-01-01,North,Wind,DSO,340.498
2011-01-01,North,Wind,TSO,356.9
2011-01-01,South,Wind,DSO,1093.551
2011-01-01,South,Wind,TSO,999.85
2011-01-01,South,Wind,TSO,28.8
2011-01-01,West,Wind,DSO,441.118
2011-01-01,West,Wind,TSO,720.0
2011-01-01,West,Wind,TSO,83.0
2011-01-01,East,Solar,DSO,106.609
2011-01-01,East,Solar,TSO,520.6
