Project,Type,Installed_MW,Connection_Date,County,Category,Connection_Type,Zone
Rosspile,Solar,95.0,01-05-2023,Wexford,Onshore,TSO,East
Gillinstown,Solar,95.0,01-05-2023,Meath,Onshore,TSO,East
Gallanstown,Solar,119.0,01-07-2023,Meath,Onshore,TSO,East
Blundelstown,Solar,60.0,01-12-2023,Meath,Onshore,TSO,East
Lysaghtstown,Solar,87.0,01-08-2024,Cork,Onshore,TSO,South
Tullabeg,Solar,50.0,01-07-2024,Wexford,Onshore,TSO,East
Harlockstown,Solar,31.6,01-05-2024,Dublin,Onshore,TSO,East
Timahoe,Solar,70.0,01-12-2024,Kildare,Onshore,TSO,East
Hortland PV,Solar,14.0,2022-07-01 00:00:00,Meath,Onshore,DSO,East
Hilltown PV,Solar,10.0,2023-05-12 00:00:00,Meath,Onshore,DSO,East
Macallian Solar,Solar,9.0,2023-12-16 00:00:00,Galway,Onshore,DSO,West
Millvale North PV,Solar,8.0,2022-04-25 00:00:00,Wexford,Onshore,DSO,East
Blusheens Solar Park,Solar,7.98,2022-08-20 00:00:00,Wexford,Onshore,DSO,East
Ballycullane Solar Park (Coolroe),Solar,4.99,2022-10-05 00:00:00,Wexford,Onshore,DSO,East
Coolyduff,Solar,4.95,2024-02-22 00:00:00,Waterford,Onshore,DSO,East
Davidstown Solar,Solar,4.95,2022-11-07 00:00:00,Wexford,Onshore,DSO,East
Gorey Solar,Solar,4.0,2023-09-06 00:00:00,Offaly,Onshore,DSO,East
Knockglass Solar Farm (Bawnmore extension),Solar,4.0,2022-12-22 00:00:00,Cork,Onshore,DSO,South
Curraghmartin Solar Park,Solar,3.99,2022-07-26 00:00:00,Waterford,Onshore,DSO,East
Lurrig Solar Farm,Solar,3.6,2022-12-14 00:00:00,Cork,Onshore,DSO,South
Greenfield PV,Solar,0.499,2023-09-08 00:00:00,Meath,Onshore,DSO,East
Lurrig Solar Ext.,Solar,0.34,2023-07-01 00:00:00,Cork,Onshore,DSO,South
Connacht GAA Solar PV,Solar,0.3,2023-03-30 00:00:00,Tipperary,Onshore,DSO,East
Knockfee Farm Rooftop,Solar,0.18,2023-04-04 00:00:00,Tipperary,Onshore,DSO,East
Roscrea Leisure Centre,Solar,0.12,2022-05-11 00:00:00,Tipperary,Onshore,DSO,East
Thurles Leisure Centre Solar,Solar,0.1,2022-05-11 00:00:00,Tipperary,Onshore,DSO,East
Hill Top Agri Solar PV,Solar,0.07,2023-04-25 00:00:00,Cork,Onshore,DSO,South
UCC Photovoltaic,Solar,0.05,Date unavailable at this time,Cork,Onshore,DSO,South
St. Gabriels Centre NB,Solar,0.04,2014-11-20 00:00:00,Limerick,Onshore,DSO,South
Tipperary CoCo Clonmel Machinery Yard,Solar,0.02,2016-01-13 00:00:00,Limerick,Onshore,DSO,South
Excel Office Solar PV (Hanlon Transport),Solar,0.19,2024-06-12 00:00:00,Louth,Onshore,DSO,East
Lehinch Solar,Solar,4.0,2024-06-26 00:00:00,Offaly,Onshore,DSO,East
Ernevalley Poultry Ltd,Solar,0.12,2024-04-18 00:00:00,Dublin,Onshore,DSO,East
Shanagraigue Solar,Solar,4.95,2024-05-17 00:00:00,Kerry,Onshore,DSO,South
Dromalour Solar Farm,Solar,4.95,2024-05-09 00:00:00,Cork,Onshore,DSO,South
Drumgarriff South,Solar,4.95,2024-05-03 00:00:00,Waterford,Onshore,DSO,East
Nellcor Puritan Bennett Ireland,Solar,0.2,2024-09-24 00:00:00,Galway,Onshore,DSO,West
Hickeys Farm Solar PV,Solar,0.3,2024-07-26 00:00:00,Louth,Onshore,DSO,East
Crossfield Solar,Solar,4.95,2024-07-25 00:00:00,Cork,Onshore,DSO,South
Beaulieu  PV ,Solar,3.99,2024-04-10 00:00:00,Wexford,Onshore,DSO,East
Ballymacadam Solar ,Solar,21.0,2024-10-14 00:00:00,Tipperary,Onshore,DSO,East
Castlekelly Solar,Solar,4.0,2024-12-19 00:00:00,Kilkenny,Onshore,DSO,East
Courtown Solar Farm ,Solar,4.0,2024-11-19 00:00:00,Offaly,Onshore,DSO,East
