Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type
Golagh,Wind,Onshore,15,01-07-1997,Donegal,TSO
Kingsmountain,Wind,Onshore,25,01-05-2003,Sligo,TSO
Meentycat,Wind,Onshore,72.4,01-10-2004,Donegal,TSO
Ballywater,Wind,Onshore,31.5,01-05-2005,Wexford,TSO
Booltiagh,Wind,Onshore,19.5,01-08-2005,Clare,TSO
Derrybrien ,Wind,Onshore,59.5,01-10-2005,Galway,TSO
Coomagearlahy,Wind,Onshore,45,01-03-2006,Kerry,TSO
Midas,Wind,Onshore,32.45,01-07-2007,Kerry,TSO
Ballywater,Wind,Onshore,10.5,01-08-2007,Wexford,TSO
Mountain Lodge,Wind,Onshore,25.5,01-04-2008,Cavan,TSO
Pallas,Wind,Onshore,40,01-06-2008,Kerry,TSO
Coomacheo,Wind,Onshore,41.4,01-06-2008,Cork,TSO
Coomagearlahy,Wind,Onshore,8.5,01-03-2009,Kerry,TSO
Mountain Lodge,Wind,Onshore,6,01-03-2009,Cavan,TSO
Coomagearlahy,Wind,Onshore,32.5,01-06-2009,Kerry,TSO
Coomacheo,Wind,Onshore,18.4,01-07-2009,Cork,TSO
Lisheen,Wind,Onshore,36,01-07-2009,Tipperary,TSO
Meentycat,Wind,Onshore,16.1,01-10-2009,Donegal,TSO
Bindoo,Wind,Onshore,48,01-10-2009,Cavan,TSO
Boggeragh,Wind,Onshore,57,01-12-2009,Cork,TSO
Dromada,Wind,Onshore,28.5,01-12-2009,Limerick,TSO
Garvagh,Wind,Onshore,26,01-06-2010,Leitrim,TSO
Garvagh,Wind,Onshore,22,01-06-2010,Roscommon,TSO
Kingsmountain,Wind,Onshore,11.05,01-06-2010,Sligo,TSO
Castledockrell,Wind,Onshore,20.7,01-01-2011,Wexford,TSO
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO
Castledockrell,Wind,Onshore,16.1,01-01-2011,Wexford,TSO
Lisheen ,Wind,Onshore,24,01-05-2013,Tipperary,TSO
Booltiagh,Wind,Onshore,12,01-09-2013,Clare,TSO
Athea,Wind,Onshore,34.35,01-02-2014,Limerick,TSO
Knockacummer,Wind,Onshore,100,01-07-2015,Cork,TSO
Mountlucas,Wind,Onshore,84,01-11-2014,Offaly,TSO
Kill Hill,Wind,Onshore,36,01-12-2014,Tipperary,TSO
Woodhouse,Wind,Onshore,20,01-06-2015,Waterford,TSO
Cloghboola,Wind,Onshore,48,01-10-2015,Kerry,TSO
Boggeragh,Wind,Onshore,65.7,01-06-2016,Cork,TSO
Mulreavy,Wind,Onshore,5,01-10-2016,Donegal,TSO
Sliabh Bawn,Wind,Onshore,64,01-12-2016,Roscommon,TSO
Mulreavy,Wind,Onshore,90,01-02-2017,Donegal,TSO
Uggool,Wind,Onshore,64,01-02-2017,Galway,TSO
Moneypoint,Wind,Onshore,17.25,01-06-2017,Clare,TSO
Seecon,Wind,Onshore,108,01-08-2017,Galway,TSO
Cordal,Wind,Onshore,35.2,01-03-2018,Kerry,TSO
Cordal,Wind,Onshore,54.4,01-03-2018,Kerry,TSO
Clahane,Wind,Onshore,13.8,01-08-2018,Kerry,TSO
Kelwin,Wind,Onshore,37.05,01-09-2018,Kerry,TSO
Knockalassa,Wind,Onshore,27.5,01-10-2018,Clare,TSO
Boolinrudda,Wind,Onshore,45,01-10-2018,Clare,TSO
Knockalough,Wind,Onshore,35.2,01-01-2019,Galway,TSO
Oweninny,Wind,Onshore,92.8,01-10-2019,Mayo,TSO
Grousemount,Wind,Onshore,114.2,01-04-2020,Kerry,TSO
Beenanaspuck & Tobertoreen ,Wind,Onshore,23.1,01-04-2020,Kerry,TSO
Carrigdangan,Wind,Onshore,54.3,01-01-2021,Cork,TSO
Cloncreen,Wind,Onshore,75.6,01-11-2022,Offaly,TSO
Lisheen,Wind ,Onshore,28.8,01-02-2023,Tipperary,TSO
Cloghan,Wind ,Onshore,34,01-01-2023,Offaly,TSO
Oweninny,Wind ,Onshore,83,01-04-2023,Mayo,TSO
Lenalea,Wind,Onshore,30.1,01-09-2023,Donegal,TSO
Ardderroo,Wind,Onshore,91.2,01-08-2023,Galway,TSO
Drumlins,Wind,Onshore,48.8,01-06-2024,Monaghan,TSO
Moanvane,Wind,Onshore,57,01-08-2024,Offaly,TSO
Derrinlough,Wind,Onshore,105,01-01-2025,Offaly,TSO
Yellow River,Wind,Onshore,86.4,01-02-2025,Offaly,TSO
