Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Golagh,Wind,Onshore,15,01-07-1997,Donegal,TSO,North
Kingsmountain,Wind,Onshore,25,01-05-2003,Sligo,TSO,West
Meentycat,Wind,Onshore,72.4,01-10-2004,Donegal,TSO,North
Ballywater,Wind,Onshore,31.5,01-05-2005,Wexford,TSO,East
Booltiagh,Wind,Onshore,19.5,01-08-2005,Clare,TSO,West
Derrybrien ,Wind,Onshore,59.5,01-10-2005,Galway,TSO,West
Coomagearlahy,Wind,Onshore,45,01-03-2006,Kerry,TSO,South
Midas,Wind,Onshore,32.45,01-07-2007,Kerry,TSO,South
Ballywater,Wind,Onshore,10.5,01-08-2007,Wexford,TSO,East
Mountain Lodge,Wind,Onshore,25.5,01-04-2008,Cavan,TSO,North
Pallas,Wind,Onshore,40,01-06-2008,Kerry,TSO,South
Coomacheo,Wind,Onshore,41.4,01-06-2008,Cork,TSO,South
Coomagearlahy,Wind,Onshore,8.5,01-03-2009,Kerry,TSO,South
Mountain Lodge,Wind,Onshore,6,01-03-2009,Cavan,TSO,North
Coomagearlahy,Wind,Onshore,32.5,01-06-2009,Kerry,TSO,South
Coomacheo,Wind,Onshore,18.4,01-07-2009,Cork,TSO,South
Lisheen,Wind,Onshore,36,01-07-2009,Tipperary,TSO,South
Meentycat,Wind,Onshore,16.1,01-10-2009,Donegal,TSO,North
Bindoo,Wind,Onshore,48,01-10-2009,Cavan,TSO,North
Boggeragh,Wind,Onshore,57,01-12-2009,Cork,TSO,South
Dromada,Wind,Onshore,28.5,01-12-2009,Limerick,TSO,South
Garvagh,Wind,Onshore,26,01-06-2010,Leitrim,TSO,West
Garvagh,Wind,Onshore,22,01-06-2010,Roscommon,TSO,West
Kingsmountain,Wind,Onshore,11.05,01-06-2010,Sligo,TSO,West
Castledockrell,Wind,Onshore,20.7,01-01-2011,Wexford,TSO,East
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO,East
Castledockrell,Wind,Onshore,2.3,01-01-2011,Wexford,TSO,East
Castledockrell,Wind,Onshore,16.1,01-01-2011,Wexford,TSO,East
Lisheen ,Wind,Onshore,24,01-05-2013,Tipperary,TSO,South
Booltiagh,Wind,Onshore,12,01-09-2013,Clare,TSO,West
Athea,Wind,Onshore,34.35,01-02-2014,Limerick,TSO,South
Knockacummer,Wind,Onshore,100,01-07-2015,Cork,TSO,South
Mountlucas,Wind,Onshore,84,01-11-2014,Offaly,TSO,East
Kill Hill,Wind,Onshore,36,01-12-2014,Tipperary,TSO,South
Woodhouse,Wind,Onshore,20,01-06-2015,Waterford,TSO,South
