model_name,target,dataset_used,training_samples,test_samples,n_features,input_shape,mae,rmse,r2_score,training_time_sec,inference_time_per_sample_sec,model_size_mb,tuning_type,training_date,prediction_interval_width,shap_top_features,shap_waterfall_sample_id,model_file_path,platform,platform_version,processor,cpu_count,gpu_used,notes
ExtraTrees_Wind_Baseline,Wind_GWh,Final_Wind_Data_Model.csv,134,34,4,"(134, 4)",137.97,171.52,0.587,0.12,0.030593,3.91,,12-08-2025 23:22,,,,models/ExtraTrees_Wind_Baseline.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,Trained on dataset without Lags and Rolling
ExtraTreesRegressor,Wind_GWh,Final_Wind_Data_Model.csv,134,34,8,"(134, 8)",109.23,134.73,0.745,6.22,0.042095,7.81,RandomizedSearchCV + TimeSeriesSplit(5),12-08-2025 20:55,,,,models/ExtraTreesRegressor.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"Trained on lag and rolling mean features (chronological split, no leakage)"
NGBoost_Wind,Wind_GWh,Final_Wind_Data_Model,134,34,8,"(134, 8)",102.06,122.51,0.789,108.65,0.064581,1.81,BayesSearchCV,06-08-2025 20:10,,,,models/NGBoost_Wind_2.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,Bayesian tuning with 25 iterations
NGBoost_wind_core_features,Wind_GWh,Final_Wind_Data_Model_With_Expanded_Lags,115,29,7,"(115, 7)",116.68,135.34,0.756,74.39,0.011689,0.2,BayesSearchCV (25 iters) + EarlyStopping,13-08-2025 21:15,,,,models/NGBoost_Wind_Simplified.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"Simplified feature set: ['Wind_GWh_Lag1', 'Wind_GWh_Lag12', 'Wind_GWh_RollingMean3', 'Wind_Speed_10m', 'Wind_Capacity_MW', 'month_sin', 'month_cos']"
NGBoost_Wind_Pruned_features,Wind_GWh,Final_Wind_Data_Model_With_Expanded_Lags,115,29,10,"(115, 10)",111.26,133.53,0.763,0.52,0.009531,0.28,BayesSearchCV (40 iterations),13-08-2025 20:41,,,,models/NGBoost_Wind_Pruned_1.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,Expanded lags with pruned low-SHAP features; tuned over 40 iterations
ARIMAX_exog,Wind_GWh,Final_Wind_Data_Model,144,12,9,"(144, 9)",127.32,156.71,0.629,0.28,0.004342,0.58,Locked orders (from AIC search),10-08-2025 10:43,,,,models/ARIMAX_exog.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"order=(2, 1, 1); exog(with lags)=['Wind_Speed_10m', 'Temperature_Celsius', 'Wind_Capacity_MW', 'Wind_Speed_10m_L1', 'Wind_Speed_10m_L2', 'Wind_Speed_10m_L12', 'Temperature_Celsius_L1', 'Temperature_Celsius_L12', 'Wind_Capacity_MW_L1']"
SARIMAX_no_exog,Wind_GWh,Final_Wind_Data_Model,156,12,1,"(156, 1)",148.25,180.77,0.506,0.33,0,24.16,Locked orders (from AIC search),10-08-2025 10:09,,,,models/SARIMAX_no_exog.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"order=(0, 1, 2), seasonal_order=(1, 1, 1, 12); no exogenous variables"
SARIMAX_lagged_exog,Wind_GWh,Final_Wind_Data_Model,144,12,9,"(144, 9)",112.23,135.36,0.723,1.21,0.006913,22.43,Locked orders (from AIC search),10-08-2025 10:33,,,,models/SARIMAX_lagged_exog.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"order=(2, 1, 2), seasonal_order=(0, 1, 1, 12); exog(with lags)=['Wind_Speed_10m', 'Temperature_Celsius', 'Wind_Capacity_MW', 'Wind_Speed_10m_L1', 'Wind_Speed_10m_L2', 'Wind_Speed_10m_L12', 'Temperature_Celsius_L1', 'Temperature_Celsius_L12', 'Wind_Capacity_MW_L1']"
ExtraTreesRegressor_solar,Solar_GWh,Final_Solar_Data_Model.csv,17,12,8,"(17, 8)",26.6,33.67,0.092,1.6,0.028548,0.15,RandomizedSearchCV + TimeSeriesSplit(3),14-08-2025 21:17,,,,models/ExtraTreesRegressor_Solar.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"Train metrics → MAE=4.42, RMSE=6.00, R2=0.933. Best params: {'max_depth': 2, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 188}. Train: 2022-08→2023-12 | Test: 2024-01→2024-12. Features used: Solar_GWh_Lag1, Solar_GWh_Lag2, Solar_GWh_Lag12, Solar_GWh_RollingMean3, Solar_Radiation_MJ_per_m2, Temperature_Celsius, Cloud_Cover, Solar_Capacity_MW."
ETR_Solar_Pruned,Solar_GWh,Final_Solar_Data_Model.csv,17,12,5,"(17, 5)",31.94,39.87,-0.273,5.33,0.018209,0.07,RandomizedSearchCV + TimeSeriesSplit(3),14-08-2025 21:52,,,,models/ETR_Solar_Pruned3.joblib,Windows,10.0.26100,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",16,NVIDIA GeForce RTX 2050,"Train metrics → MAE=7.95, RMSE=10.06, R2=0.811. Best params: {'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 113}. Pruned features (SHAP-based): Solar_GWh_Lag1, Solar_GWh_Lag2, Solar_GWh_RollingMean3, Solar_Radiation_MJ_per_m2, Solar_Capacity_MW. Train: 2022-08→2023-12 | Test: 2024-01→2024-12."
