Date,Actual,Predicted,Lower90,Upper90
08-01-2022,509.108,565.6506544,467.7950393,767.154036
09-01-2022,643.172,500.4605994,402.6049842,701.963981
10-01-2022,1250.767,1089.758998,991.903383,1291.26238
11-01-2022,1334.786,1130.697897,1032.842282,1332.201279
12-01-2022,1029.827,973.1842732,875.328658,1174.687655
01-01-2023,1211.068,1325.561738,1227.706123,1527.06512
02-01-2023,1105.607,1080.129013,982.2733974,1281.632394
03-01-2023,1122.606,1019.677356,921.821741,1221.180738
04-01-2023,933.626,803.3697278,705.5141127,1004.873109
05-01-2023,564.269,788.4115633,690.5559482,989.9149449
06-01-2023,538.073,638.6669114,540.8112963,840.170293
07-01-2023,877.184,663.4856176,565.6300025,864.9889992
08-01-2023,887.967,705.983153,608.1275378,907.4865346
09-01-2023,853.168,829.4466622,731.5910471,1030.950044
10-01-2023,837.014,938.0942746,840.2386595,1139.597656
11-01-2023,1137.068,990.7203461,892.864731,1192.223728
12-01-2023,1537.47,1317.529065,1219.67345,1519.032446
01-01-2024,1141.615,1089.151937,991.2963216,1290.655318
02-01-2024,1197.359,1125.390256,1027.534641,1326.893637
03-01-2024,1330.54,1028.138497,930.2828815,1229.641878
04-01-2024,928.997,981.6098894,883.7542743,1183.113271
05-01-2024,560.063,667.0437139,569.1880988,868.5470955
06-01-2024,640.203,756.8681392,659.0125241,958.3715208
07-01-2024,587.208,699.8661346,602.0105195,901.3695162
08-01-2024,947.575,981.7415127,883.8858976,1183.244894
09-01-2024,794.546,835.8553176,737.9997024,1037.358699
10-01-2024,1032.437,944.8808949,847.0252798,1146.384276
11-01-2024,887.614,934.7229462,836.8673311,1136.226328
12-01-2024,1318.917,1166.707963,1068.852348,1368.211345
