Date,Wind_GWh,Solar_GWh,Wind_Speed_10m,Temperature_Celsius,Cloud_Cover,Solar_Radiation_MJ_per_m2,Wind_Capacity_MW,Solar_Capacity_MW,East_Solar_DSO_MW,East_Solar_TSO_MW,East_Wind_DSO_MW,East_Wind_TSO_MW,North_Wind_DSO_MW,North_Wind_TSO_MW,South_Solar_DSO_MW,South_Solar_TSO_MW,South_Wind_DSO_MW,South_Wind_TSO_MW,West_Solar_DSO_MW,West_Wind_DSO_MW,West_Wind_TSO_MW
01-01-2010,248.002,0.0,0.78655136,4.1490774,0.66856295,2971663.8,1270.807,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-02-2010,150.952,0.0,1.1544578,4.126316,0.69422,5765193.0,1286.107,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-03-2010,251.394,0.0,0.872089,6.32746,0.65399486,10048856.0,1303.657,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-04-2010,186.269,0.0,1.2957245,8.733235,0.6744531,16062960.0,1313.647,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-05-2010,168.528,0.0,1.6492325,10.533146,0.6533258,18700240.0,1313.647,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-06-2010,155.438,0.0,0.71755594,14.2299185,0.7032929,19980432.0,1393.697,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-07-2010,268.309,0.0,3.3235888,14.914639,0.83600146,15352660.0,1393.697,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-08-2010,207.491,0.0,2.7918634,14.405796,0.7027592,15194250.0,1393.697,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-09-2010,288.738,0.0,2.3287084,13.937576,0.7557088,10283616.0,1395.287,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-10-2010,321.952,0.0,1.9723176,11.298184,0.6781363,6822046.0,1395.287,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-11-2010,341.232,0.0,1.4749972,6.9686065,0.673554,3360095.8,1400.41,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-12-2010,218.84,0.0,1.1318158,2.989208,0.69092274,2226574.2,1400.428,0.6,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-01-2011,274.802,0.0,1.5804212,5.1265016,0.7160629,2722785.5,1443.528,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-02-2011,354.989,0.0,4.150639,7.4958653,0.7708915,4892891.0,1448.178,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-03-2011,205.538,0.0,1.3151177,7.115686,0.6544995,10031971.0,1453.278,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-04-2011,245.734,0.0,1.8218471,10.619301,0.6722466,15662278.0,1472.878,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-05-2011,542.454,0.0,4.198789,11.077496,0.7303525,17387700.0,1485.378,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-06-2011,242.292,0.0,2.5661945,11.918293,0.685079,19358158.0,1511.378,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-07-2011,184.921,0.0,1.6296585,13.986278,0.78539485,16903416.0,1530.368,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-08-2011,190.237,0.0,2.4011583,13.759388,0.7419558,14305454.0,1592.808,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-09-2011,483.044,0.0,5.392239,13.701938,0.79020184,9489662.0,1592.808,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-10-2011,450.738,0.0,4.7353787,12.028352,0.8364888,4809977.0,1617.098,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-11-2011,546.286,0.0,4.9286823,10.641469,0.7409434,3116192.8,1617.598,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-12-2011,649.314,0.0,7.313563,7.31394,0.77702886,1838149.5,1620.998,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-01-2012,537.091,0.0,4.7165875,7.701514,0.83359694,2250527.0,1620.998,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-02-2012,372.643,0.0,3.3854454,7.6769295,0.8937073,3843176.0,1620.998,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-03-2012,308.961,0.0,2.2784219,8.88237,0.67741615,10396377.0,1620.998,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-04-2012,362.392,0.0,3.3823714,7.528766,0.6350731,15431789.0,1635.988,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-05-2012,258.475,0.0,0.87023926,10.735611,0.7081962,18175084.0,1635.988,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-06-2012,240.156,0.0,1.5529944,12.499234,0.82894427,16319786.0,1670.268,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-07-2012,220.825,0.0,2.0271592,13.840955,0.7811975,15679015.0,1670.278,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-08-2012,293.377,0.0,2.6854606,15.282195,0.76189435,14754456.0,1670.278,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-09-2012,310.492,0.0,3.5203156,12.974229,0.7633441,10317375.0,1682.878,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
01-10-2012,271.708,0.0,0.9914407,9.9304695,0.7364165,6105414.5,1707.09,0.7,106.609,520.6,349.389,525.4,340.498,356.9,22.97,87,1093.551,1028.65,9.2,441.118,803
